"name","main_category","ratings","discount_price","actual_price"
Coasters TF-40 Synthetic Leather Waterproof Shoes,men's shoes,4.3,999.0,1000.0
Sonata Analog Black Dial Women's Watch-NL8093SM01/NP8093SM01,accessories,4.3,1048.0,1049.0
Lux Inferno Mens Cotton Thermal Set (XXXX-Large),men's clothing,4.3,1040.0,1050.0
Liberty Boy 9906-02T Black School Uniform Shoe-5,men's shoes,4.3,1098.7,1099.0
BATA Mens Troy-remo-ss17 M2 Uniform Dress Shoe,men's shoes,4.3,1198.0,1199.0
"REEYA Bizzy Lizzy Embroidery Ladies Nighty V- Neck Half Sleeves with Side Pockets, Night Nighties Gown Maxi for Women",women's clothing,4.3,1385.0,1395.0
"TSF Leather Boot, Extra Lightweight Extra Comfort",men's shoes,4.3,1790.0,1799.0
American Tourister X - Bag Casual 2 Nylon 55 cms Black Travel Duffle (40X (0) 09 008),accessories,4.3,1899.0,1900.0
American Tourister Nylon 55 cms Blue Travel Duffle (40X (0) 01 008),accessories,4.3,1899.0,1900.0
Fastrack I Love Me Valentine Special Analog Blue Dial Women's Watch-6189SL02 / 6189SL02/NP6189SL02,accessories,4.3,2085.0,2095.0
American Tourister X Bag Casual 2 Nylon 65Cms Black Travel Duffle (40X (0) 09 009),accessories,4.3,2099.0,2100.0
Travel Blue 9 cms Nylon Urban Sling Bag,accessories,4.3,2375.0,2395.0
Fastrack Beach Analog Black Dial Women's Watch-NL9827PP02/NP9827PP02,accessories,4.3,2439.0,2450.0
Aristocrat Polyester Hard 66 Cms Luggage- Suitcase(Duedge65Der_Deep Red),accessories,4.3,2823.0,2823.05
American Tourister Voyager Plus ABS Jet Black Briefcase 9cm,accessories,4.3,2889.0,2900.0
Skechers Modern Cool PLUTON Men's Charcoal Walking Shoes,men's shoes,4.3,2990.0,2999.0
ASICS Mens Upcourt 4 Track and Field Shoe,men's shoes,4.3,4049.0,4050.0
Hidesign Men's Messenger Bag (Brown),accessories,4.3,4868.0,4895.0
Skechers Men's Go Run Fast Steadfast Shoes,men's shoes,4.3,4990.0,4999.0
Skechers Men's Go Run Fast Quake Shoes,men's shoes,4.3,5290.0,5299.0
"Nike Mens Varsity Compete Tr 3 A Flat, Wide Sole Creates a Stable Base for Drills and Weightlifting. Straps on The Sides I...",men's shoes,4.3,5490.0,5495.0
Skechers Mens Elite Flex - Belburn Casual Shoe,men's shoes,4.3,5490.0,5495.0
Nike Men's Court Vintage Prem Leather Sneaker,men's shoes,4.3,5490.0,5495.0
Skechers Mens Matera - Holtcrest Sneakers,men's shoes,4.3,5490.0,5499.0
Skechers Mens Elite Flex - Lochbay Sneaker,men's shoes,4.3,5490.0,5499.0
ASICS Unisex-Adult Gel-Peake Cricket Shoes,men's shoes,4.3,5449.0,5499.0
Nike Mens Air Max Sc Running Shoe,men's shoes,4.3,5990.0,5995.0
Nike Mens Court Vision Mid Nn Running Shoe,men's shoes,4.3,5990.0,5995.0
